,,,,,,,,,,,
Category,OpCode (Hex),Function (Hex),,IR[5..0],Instruction,Example,Meaning,MIPS?,,Comments,IsSigned = false
Arithmetic,0x00,0x21,,100001,add - unsigned,"addu $s1, $s2, $s3",$s1 = $s2 + $s3,yes,,Adds two registers and stores the result in a register,
,0x09,,001001,,add immediate unsigned,"addiu $s1, $s2, IMM",$s1 = $s2 + IMM,yes,,Adds a register and a sign-extended immediate value and stores the result in a register,
,0x00,0x23,,100011,sub unsigned,"subu $s1, $s2, $s3",$s1 = $s2 - $s3,yes,,Subtracts two registers and stores the result in a register,
,0x10,,010000,,sub immediate unsigned,"subiu $s1, $s2, IMM",$s1 = $s2 - IMM,no,,Subtracts IMM from a register and stores the result in a register,
,0x00,0x18,,011000,mult ,"mult $s, $t",$LO= $s * $t,yes,,Multiplies $s by $t and stores the lower half of the result in $LO and the upper half in $HI.,
,0x00,0x19,,011001,mult unsigned,"multu $s, $t",$LO= $s * $t,yes,,Multiplies (unsigned) $s by $t and stores the lower half of the result in $LO and the upper half in $HI.,
Logical,0x00,0x24,,100100,and,"and $s1, $s2, $s3",$s1 = $s2 and $s3,yes,,The contents of s3 are combined with the contents of s2 in a bitwise logical AND operation. The result is placed into s1.,
,0x0C,,001100,,andi,"andi $s1, $s2, IMM",$s1 = $s2 and IMM,yes,,The 16-bit immediate is zero-extended to the left and combined with the contents of s2 in a bitwise logical AND operation. The result is placed into s1.,yes
,0x00,0x25,,100101,or,"or $s1, $s2, $s3",$s1 = $s2 or $s3,yes,,The contents of s3 are combined with the contents of s2 in a bitwise logical OR operation. The result is placed into s1.,
,0x0D,,001101,,ori,"ori $s1, $s2, IMM",$s1 = $s2 or IMM,yes,,The 16-bit immediate is zero-extended to the left and combined with the contents of s2 in a bitwise logical OR operation. The result is placed into s1.,yes
,0x00,0x26,,100110,xor,"xor $s1, $s2, $s3",$s1 = $s2 xor $s3,yes,,Combine the contents of s3 and s2 in a bitwise logical exclusive OR operation and place the result into s1.,
,0x0E,,001110,,xori,"xori $s1, $s2, IMM",$s1 = $s2 xor IMM,yes,,Combine the contents of s2 and the 16-bit zero-extended immediate in a bitwise logical exclusive OR operation and place the result into s1.,yes
,0x00,0x02,,000010,srl -shift right logical,"srl $s1, $s2, H",$s1 = $s2 >> H,yes,,These logical shifts append 0s. Where H is the number of shifts desired. H is an 5-bit immediate value stored in bits 10-6 of the instruction register.,
,0x00,0x00,,000000,sll -shift left logical ,"sll $s1, $s2, H",$s1 = $s2 << H,yes,,These logical shifts append 0s. Where H is the number of shifts desired. H is an 5-bit immediate value stored in bits 10-6 of the instruction register.,
,0x00,0x03,,000011,sra -shift right arithmetic,"sra $s1, $s2, H",$s1 = $s2 >> H,yes,,"These arithmetic shifts, if signed bit is 1, will append 1s. If signed bit is 0, will append 0s.  H is an 5-bit immediate value stored in bits 10-6 of the instruction register.",
,0x00,0x2A,,101010,slt -set on less than signed,"slt $s1,$s2, $s3",$s1=1 if $s2 < $3 else $s1=0,yes,,"Compare the contents of s3 and s2 as signed integers and record the Boolean result of the comparison in s1. If s2 is less than s3 the result is 1 (true), otherwise 0 (false). The arithmetic comparison does not cause an Integer Overflow exception.",
,0x0A,,001010,,slti -set on less than immediate signed,"slti $s1,$s2, IMM",$s1=1 if $s2 < IMM else $s1=0,yes,,"Compare the contents of s2 and the 16-bit signed immediate as signed integers and record the Boolean result of the comparison in s1. If s2 is less than immediate the result is 1 (true), otherwise 0 (false). The arithmetic comparison does not cause an Integer Overflow exception.",
,0x0B,,001011,,sltiu- set on less than immediate unsigned,"sltiu $s1,$s2, IMM",$s1=1 if $s2 < IMM else $s1=0,yes,,"Compare the contents of s2 and the sign-extended 16-bit immediate as unsigned integers and record the Boolean result of the comparison in s1. If s2 is less than immediate the result is 1 (true), otherwise 0 (false). Because the 16-bit immediate is sign-extended before comparison, the instruction is able to represent the smallest or largest unsigned numbers. The representable values are at the minimum [0, 32767] or maximum [max_unsigned-32767, max_unsigned] end of the unsigned range. The arithmetic comparison does not cause an Integer Overflow exception",
,0x00,0x2B,,101011,sltu - set on less than unsigned,"sltu $s1,$s2, $s3",$s1=1 if $s2 < $s3 else $s1=0,yes,,"Compare the contents of s3 and s2 as unsigned integers and record the Boolean result of the comparison in s1. If s3 is less than s2 the result is 1 (true), otherwise 0 (false). The arithmetic comparison does not cause an Integer Overflow exception.",
,0x00,0x10,,010000,mfhi -move from Hi,mfhi $s1,$s1= HI,yes,,"The two instructions that follow an MFHI instruction must not be instructions that modify the HI register: DDIV, DDIVU, DIV, DIVU, DMULT, DMULTU, MTHI, MULT, MULTU. If this restriction is violated, the result of the MFHI is undefined.",
,0x00,0x12,,010010,mflo -move from LO,mflo $s1,$s1= LO,yes,,"The two instructions that follow an MFLO instruction must not be instructions that modify the LO register: DDIV, DDIVU, DIV, DIVU, DMULT, DMULTU, MTLO, MULT, MULTU. If this restriction is violated, the result of the MFLO is undefined.",
,,,,,,,,,,,
Load/Store,0x23,,,,load word,"lw $s1, offset($s2)",$s1 = RAM[$s2+offset],yes,,"The contents of the 32-bit word at the memory location specified by the aligned effective address are fetched, sign-extended to the register length if necessary, and placed in s1. The 16-bit signed offset is added to the contents of s2 to form the effective address",yes (will be changed in future classes)
,0x2B,,,,store word,"sw $s1, offset($s2)",RAM[$s2+offset] = $s1,yes,,The least-significant 32-bit word of register s1 is stored in memory at the location specified by the aligned effective address. The 16-bit signed offset is added to the contents of s2 to form the effective address.,yes (will be changed in future classes)
,,,,,,,,,,,
Branch,0x04,,,,branch on equal,"beq $s1,$s2, TARGET","if $s1=$s2, PC += 4+TARGET",yes,,"Branches to the specified label when the contents of s1 equal the contents of s2, or it can branch when the contents of s1 equal the immediate value.",
,0x05,,,,branch not equal,"bne $s1,$s2, TARGET","if $s1/=$s2, PC += 4+TARGET",yes,,"Branches to the specified label when the contents of s1 do not equal the contents of s2, or it can branch when the contents of s1 do not equal the immediate value.",
,0x06,,,,Branch on Less Than or Equal to Zero,"blez $s1, TARGET","if $s1 <= 0, PC += 4+TARGET",yes,,Branches to the specified label when the contents of s1 are less than or equal to zero. The program must define the destination.,
,0x07,,,,Branch on Greater Than Zero,"bgtz $s1, TARGET","if $s1 > 0, PC += 4+TARGET",yes,,Branches to the specified label when the contents of s1 are greater than zero.,
,0x01,,,,Branch on Less Than Zero,"bltz $s1, TARGET","if $s1 < 0, PC += 4+TARGET",yes,,Branches to the specified label when the contents of s1 are less than zero. The program must define the destination.,
,0x01,,,,Branch on Greater Than or Equal to Zero,"bgez $s1, TARGET","if $s1 >= 0, PC += 4+TARGET",yes,,Branches to the specified label when the contents of s1 are greater than or equal to zero.,
,,,,,,,,,,,
Unconditional Jump,,,,,,,,,,,
,0x02,,,,jump to address,j TARGET,PC = TARGET,yes,,This is a way of always jumping to an address given in the ,
,0x03,,,,jump and link,jal TARGET,$ra = PC+4 and PC = TARGET,yes,,This is the equivalent of the call instruction. The return address is stored in $ra ($31),
,0x00,0x08,,001000,jump register,jr $ra,PC = $ra,yes,,This can be used to jump to an address held in a register. For example the address held in $ra($31) after a jal is the return address.,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
